Metric,Equal Weight,CVaR Portfolio
Annual Return,0.10903561955792992,0.015177714142740882
Annual Volatility,0.15667920860552906,0.06769672038611366
Sharpe Ratio,0.6959163281992872,0.22420161650628834
Max Drawdown,-0.2437397114056009,-0.1709225563789596
